Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 30-09-2021, M, 5.44, 12234535.00, 43.56
Andhra Pradesh, 31-10-2021, M, 5.16, 10862508.00, 38.52
Andhra Pradesh, 30-11-2021, M, 5.93, 11105398.00, 39.66
Andhra Pradesh, 31-12-2021, M, 4.80, 11985468.00, 42.25
Andhra Pradesh, 31-01-2022, M, 5.22, 11027072.00, 39.00
Andhra Pradesh, 28-02-2022, M, 7.73, 10690914.00, 38.80
Andhra Pradesh, 31-03-2022, M, 9.51, 10650675.00, 39.37
Andhra Pradesh, 30-04-2022, M, 4.66, 11323476.00, 39.69
Andhra Pradesh, 31-05-2022, M, 2.50, 11215266.00, 38.39
Andhra Pradesh, 30-06-2022, M, 3.83, 10183084.00, 35.30
Andhra Pradesh, 31-07-2022, M, 4.23, 10889207.00, 37.87
Andhra Pradesh, 31-08-2022, M, 4.87, 11161746.00, 39.03
Andhra Pradesh, 30-09-2022, M, 3.08, 11666146.00, 40.00
Andhra Pradesh, 31-10-2022, M, 4.27, 9632566.00, 33.40
Andhra Pradesh, 30-11-2022, M, 7.65, 10244647.00, 36.78
Andhra Pradesh, 31-12-2022, M, 7.32, 10682056.00, 38.18
Andhra Pradesh, 31-01-2023, M, 3.78, 11184951.00, 38.46
Andhra Pradesh, 28-02-2023, M, 5.81, 10201429.00, 35.80
Assam, 31-01-2016, M, 5.83, 9830026.00, 52.82
Assam, 29-02-2016, M, 13.24, 9574798.00, 55.74
Assam, 31-03-2016, M, 4.15, 8635998.00, 45.42
Assam, 30-04-2016, M, 0.00, 8571034.00, 43.12
Assam, 31-05-2016, M, 3.61, 9210479.00, 47.98
Assam, 30-06-2016, M, 10.96, 8590588.00, 48.34
Assam, 31-07-2016, M, 13.99, 7982526.00, 46.41
Assam, 31-08-2016, M, 7.55, 8925705.00, 48.18
Assam, 30-09-2016, M, 8.05, 8776602.00, 47.54
Assam, 31-10-2016, M, 7.02, 8138953.00, 43.51
Assam, 30-11-2016, M, 11.71, 7942971.00, 44.63
Assam, 31-12-2016, M, 3.57, 9483848.00, 48.70
Assam, 31-01-2017, M, 8.33, 9275697.00, 50.00
Assam, 28-02-2017, M, 6.12, 8109924.00, 42.61
Assam, 31-03-2017, M, 7.49, 8307468.00, 44.20
Assam, 30-04-2017, M, 2.04, 8882399.00, 44.55
Assam, 31-05-2017, M, 13.59, 9504191.00, 53.93
Assam, 30-06-2017, M, 11.11, 8530022.00, 46.96
Assam, 31-07-2017, M, 8.06, 8601718.00, 45.69
Assam, 31-08-2017, M, 4.08, 9013099.00, 45.79
Assam, 30-09-2017, M, 9.00, 9951581.00, 53.19
Assam, 31-10-2017, M, 8.40, 8797514.00, 46.62
Assam, 30-11-2017, M, 9.34, 8777803.00, 46.91
Assam, 31-01-2018, M, 7.96, 9412069.00, 49.34
Assam, 28-02-2018, M, 8.46, 8375373.00, 44.07
Assam, 31-03-2018, M, 5.45, 8896631.00, 45.23
Assam, 30-04-2018, M, 1.67, 9424228.00, 45.98
Assam, 31-05-2018, M, 6.58, 10370592.00, 53.15
Assam, 30-06-2018, M, 7.09, 8574707.00, 44.10
Assam, 31-07-2018, M, 7.31, 8959786.00, 46.09
Assam, 31-08-2018, M, 1.75, 9489645.00, 45.97
Assam, 30-09-2018, M, 11.84, 9830039.00, 52.96
Assam, 31-10-2018, M, 4.63, 8488020.00, 42.19
Assam, 30-11-2018, M, 8.43, 9358053.00, 48.35
Assam, 31-12-2018, M, 5.22, 9539947.00, 47.52
Assam, 31-01-2019, M, 4.81, 10830421.00, 53.61
Assam, 28-02-2019, M, 4.35, 8694500.00, 42.75
Assam, 31-03-2019, M, 7.14, 9356919.00, 47.30
Assam, 30-04-2019, M, 3.77, 9720353.00, 47.32
Assam, 31-05-2019, M, 4.29, 11749334.00, 57.39
Assam, 30-06-2019, M, 5.08, 8923222.00, 43.87
Assam, 31-07-2019, M, 4.26, 9911534.00, 48.21
Assam, 31-08-2019, M, 5.79, 9292039.00, 45.83
Assam, 30-09-2019, M, 4.46, 11468350.00, 55.67
Assam, 31-10-2019, M, 4.65, 8395908.00, 40.76
Assam, 30-11-2019, M, 4.66, 9625364.00, 46.64
Assam, 31-01-2020, M, 4.29, 11420996.00, 54.90
Assam, 29-02-2020, M, 3.26, 8462814.00, 40.17
Assam, 31-03-2020, M, 3.77, 9878742.00, 47.05
Assam, 31-05-2020, M, 9.38, 9926176.00, 50.00
Assam, 30-06-2020, M, 0.00, 7544937.00, 34.38
Assam, 31-07-2020, M, 3.37, 8676252.00, 40.83
Assam, 31-08-2020, M, 5.00, 8210150.00, 39.22
Assam, 30-09-2020, M, 0.90, 12520100.00, 57.22
Assam, 31-10-2020, M, 2.94, 10283710.00, 47.89
Assam, 30-11-2020, M, 4.22, 9166357.00, 43.17
Assam, 31-01-2021, M, 1.61, 11555536.00, 52.77
Assam, 28-02-2021, M, 1.52, 9599029.00, 43.71
Assam, 31-03-2021, M, 1.13, 9490941.00, 42.96
Assam, 31-07-2021, M, 1.18, 9555120.00, 42.93
Assam, 30-09-2021, M, 3.16, 14547917.00, 66.43
Assam, 31-10-2021, M, 3.17, 9532098.00, 43.45
Assam, 30-11-2021, M, 4.35, 8762417.00, 40.35
Assam, 31-01-2022, M, 8.26, 13025475.00, 62.29
Assam, 28-02-2022, M, 10.45, 8617445.00, 42.14
Assam, 31-03-2022, M, 8.44, 8358608.00, 39.90
Assam, 31-05-2022, M, 8.16, 13086239.00, 62.03
Assam, 30-06-2022, M, 18.75, 7739010.00, 41.38
Assam, 31-10-2022, M, 7.69, 9129427.00, 42.62
Assam, 30-11-2022, M, 13.85, 9344252.00, 46.65
Assam, 31-12-2022, M, 0.00, 10880971.00, 46.71
Assam, 31-01-2023, M, 17.24, 11204921.00, 58.00
Assam, 28-02-2023, M, 7.69, 9677070.00, 44.83
Bihar, 31-01-2016, M, 3.70, 24739780.00, 41.51
Bihar, 29-02-2016, M, 4.52, 26925344.00, 45.47
Bihar, 31-03-2016, M, 2.29, 23838393.00, 39.25
Bihar, 30-04-2016, M, 5.50, 26452688.00, 44.94
Bihar, 31-05-2016, M, 12.92, 25169982.00, 46.30
Bihar, 30-06-2016, M, 7.67, 26974137.00, 46.70
Bihar, 31-07-2016, M, 3.90, 24305446.00, 40.35
Bihar, 31-08-2016, M, 12.43, 26192565.00, 47.61
Bihar, 30-09-2016, M, 14.39, 24663044.00, 45.76
Bihar, 31-10-2016, M, 6.47, 25686600.00, 43.53
Bihar, 30-11-2016, M, 6.28, 24857505.00, 41.95
Bihar, 31-12-2016, M, 4.43, 25924646.00, 42.81
Bihar, 31-01-2017, M, 4.72, 24479462.00, 40.45
Bihar, 28-02-2017, M, 3.41, 25761779.00, 41.91
Bihar, 31-03-2017, M, 2.48, 24398730.00, 39.23
Bihar, 30-04-2017, M, 1.34, 25060822.00, 39.75
Bihar, 31-05-2017, M, 2.12, 26086226.00, 41.61
Bihar, 30-06-2017, M, 1.69, 26162150.00, 41.46
Bihar, 31-07-2017, M, 1.75, 24448773.00, 38.68
Bihar, 31-08-2017, M, 3.33, 24500483.00, 39.31
Bihar, 30-09-2017, M, 4.81, 24901807.00, 40.49
Bihar, 31-10-2017, M, 4.86, 25209722.00, 40.93
Bihar, 30-11-2017, M, 5.00, 24835579.00, 40.29
Bihar, 31-12-2017, M, 5.05, 24834397.00, 40.23
Bihar, 31-01-2018, M, 3.19, 26320624.00, 41.72
Bihar, 28-02-2018, M, 6.64, 25273112.00, 41.46
Bihar, 31-03-2018, M, 9.89, 24460810.00, 41.48
Bihar, 30-04-2018, M, 7.49, 24340228.00, 40.12
Bihar, 31-05-2018, M, 4.00, 25857744.00, 40.98
Bihar, 30-06-2018, M, 7.03, 24668734.00, 40.29
Bihar, 31-07-2018, M, 8.92, 23483603.00, 39.06
Bihar, 31-08-2018, M, 8.73, 23303745.00, 38.60
Bihar, 30-09-2018, M, 4.59, 25022998.00, 39.56
Bihar, 31-10-2018, M, 9.25, 23429236.00, 38.86
Bihar, 30-11-2018, M, 10.75, 22893899.00, 38.53
Bihar, 31-12-2018, M, 7.51, 22682550.00, 36.75
Bihar, 31-01-2019, M, 7.52, 24277845.00, 39.26
Bihar, 28-02-2019, M, 10.89, 23577976.00, 39.49
Bihar, 31-03-2019, M, 10.99, 23263629.00, 38.93
Bihar, 30-04-2019, M, 11.22, 22098643.00, 36.99
Bihar, 31-05-2019, M, 9.27, 24322323.00, 39.75
Bihar, 30-06-2019, M, 10.20, 24097708.00, 39.71
Bihar, 31-07-2019, M, 13.44, 23248876.00, 39.66
Bihar, 31-08-2019, M, 11.00, 22260212.00, 36.85
Bihar, 30-09-2019, M, 8.62, 23991088.00, 38.60
Bihar, 31-10-2019, M, 12.47, 24053140.00, 40.31
Bihar, 30-11-2019, M, 12.40, 22445999.00, 37.51
Bihar, 31-12-2019, M, 10.16, 22914536.00, 37.25
Bihar, 31-01-2020, M, 9.13, 23409006.00, 37.54
Bihar, 29-02-2020, M, 9.61, 23168192.00, 37.28
Bihar, 31-03-2020, M, 15.39, 22667882.00, 38.88
Bihar, 30-04-2020, M, 45.09, 14645275.00, 38.63
Bihar, 31-05-2020, M, 47.26, 14050319.00, 38.50
Bihar, 30-06-2020, M, 18.54, 20855544.00, 36.92
Bihar, 31-07-2020, M, 12.03, 21962598.00, 35.92
Bihar, 31-08-2020, M, 12.25, 21029375.00, 34.41
Bihar, 30-09-2020, M, 11.10, 23885640.00, 38.49
Bihar, 31-10-2020, M, 9.66, 22619048.00, 35.79
Bihar, 30-11-2020, M, 9.23, 22910615.00, 36.00
Bihar, 31-12-2020, M, 11.85, 21443715.00, 34.63
Bihar, 31-01-2021, M, 9.67, 25019470.00, 39.34
Bihar, 28-02-2021, M, 11.20, 22609883.00, 36.09
Bihar, 31-03-2021, M, 14.10, 22706548.00, 37.39
Bihar, 30-04-2021, M, 10.02, 21795163.00, 34.19
Bihar, 31-05-2021, M, 13.41, 24240457.00, 39.42
Bihar, 30-06-2021, M, 10.14, 22381007.00, 35.00
Bihar, 31-07-2021, M, 12.38, 22386909.00, 35.83
Bihar, 31-08-2021, M, 12.76, 21150536.00, 33.92
Bihar, 30-09-2021, M, 9.01, 23743741.00, 36.43
Bihar, 31-10-2021, M, 13.72, 21922951.00, 35.40
Bihar, 30-11-2021, M, 13.95, 21630814.00, 34.95
Bihar, 31-12-2021, M, 14.91, 21029261.00, 34.28
Bihar, 31-01-2022, M, 12.82, 22634383.00, 35.94
Bihar, 28-02-2022, M, 13.45, 21731921.00, 34.69
Bihar, 31-03-2022, M, 13.95, 21109708.00, 33.81
Bihar, 30-04-2022, M, 20.55, 21046521.00, 36.43
Bihar, 31-05-2022, M, 12.85, 23763455.00, 37.42
Bihar, 30-06-2022, M, 13.66, 21529185.00, 34.15
Bihar, 31-07-2022, M, 18.55, 21257546.00, 35.67
Bihar, 31-08-2022, M, 10.88, 20291650.00, 31.05
Bihar, 30-09-2022, M, 10.39, 24346005.00, 36.97
Bihar, 31-10-2022, M, 14.49, 21409579.00, 33.99
Bihar, 30-11-2022, M, 17.19, 21140319.00, 34.59
Bihar, 31-12-2022, M, 17.90, 20377064.00, 33.55
Bihar, 31-01-2023, M, 11.21, 23044586.00, 35.01
Bihar, 28-02-2023, M, 11.63, 22354043.00, 34.05
Chhattisgarh, 31-01-2016, M, 0.91, 6042681.00, 41.10
Chhattisgarh, 29-02-2016, M, 5.26, 6233184.00, 44.26
Chhattisgarh, 31-03-2016, M, 0.97, 6664130.00, 45.17
Chhattisgarh, 30-04-2016, M, 2.89, 6196137.00, 42.73
Chhattisgarh, 31-05-2016, M, 4.29, 6338136.00, 44.25
Chhattisgarh, 30-06-2016, M, 1.18, 6458159.00, 43.58
Chhattisgarh, 31-07-2016, M, 3.59, 6917881.00, 47.74
Chhattisgarh, 31-08-2016, M, 1.71, 6264762.00, 42.31
Chhattisgarh, 30-09-2016, M, 8.51, 7113859.00, 51.51
Chhattisgarh, 31-10-2016, M, 3.33, 8298791.00, 56.74
Chhattisgarh, 30-11-2016, M, 3.09, 7587438.00, 51.64
Chhattisgarh, 31-12-2016, M, 3.71, 6240718.00, 42.66
Chhattisgarh, 31-01-2017, M, 3.29, 6380086.00, 43.32
Chhattisgarh, 28-02-2017, M, 1.75, 7539539.00, 50.29
Chhattisgarh, 31-03-2017, M, 2.83, 7370766.00, 49.60
Chhattisgarh, 30-04-2017, M, 4.17, 6514503.00, 44.36
Chhattisgarh, 31-05-2017, M, 3.86, 6527077.00, 44.20
Chhattisgarh, 30-06-2017, M, 1.03, 6696222.00, 43.96
Chhattisgarh, 31-07-2017, M, 0.64, 7365798.00, 48.06
Chhattisgarh, 31-08-2017, M, 3.25, 6529389.00, 43.66
Chhattisgarh, 30-09-2017, M, 4.45, 6508360.00, 43.97
Chhattisgarh, 31-10-2017, M, 2.21, 6942533.00, 45.72
Chhattisgarh, 30-11-2017, M, 3.01, 7151861.00, 47.39
Chhattisgarh, 31-12-2017, M, 1.50, 6638490.00, 43.22
Chhattisgarh, 31-01-2018, M, 5.64, 6398523.00, 43.39
Chhattisgarh, 28-02-2018, M, 1.63, 6220704.00, 40.38
Chhattisgarh, 31-03-2018, M, 2.86, 6718999.00, 44.07
Chhattisgarh, 30-04-2018, M, 2.09, 6162574.00, 40.02
Chhattisgarh, 31-05-2018, M, 4.45, 5869882.00, 38.97
Chhattisgarh, 30-06-2018, M, 1.69, 6067913.00, 39.07
Chhattisgarh, 31-07-2018, M, 3.05, 6423394.00, 41.85
Chhattisgarh, 31-08-2018, M, 2.78, 6112994.00, 39.63
Chhattisgarh, 30-09-2018, M, 23.18, 6098401.00, 49.92
Chhattisgarh, 31-10-2018, M, 12.52, 6392014.00, 45.85
Chhattisgarh, 30-11-2018, M, 5.38, 6369071.00, 42.15
Chhattisgarh, 31-12-2018, M, 4.90, 5983109.00, 39.30
Chhattisgarh, 31-01-2019, M, 6.81, 6141864.00, 41.08
Chhattisgarh, 28-02-2019, M, 6.94, 6548608.00, 43.78
Chhattisgarh, 31-03-2019, M, 3.17, 6808582.00, 43.65
Chhattisgarh, 30-04-2019, M, 2.99, 6249706.00, 39.90
Chhattisgarh, 31-05-2019, M, 9.82, 6259019.00, 42.89
Chhattisgarh, 30-06-2019, M, 6.76, 6608625.00, 43.71
Chhattisgarh, 31-07-2019, M, 4.54, 6753624.00, 43.53
Chhattisgarh, 31-08-2019, M, 4.64, 6607694.00, 42.55
Chhattisgarh, 30-09-2019, M, 8.33, 6490778.00, 43.38
Chhattisgarh, 31-10-2019, M, 6.96, 7043839.00, 46.28
Chhattisgarh, 30-11-2019, M, 2.77, 6942930.00, 43.56
Chhattisgarh, 31-12-2019, M, 6.11, 6569389.00, 42.59
Chhattisgarh, 31-01-2020, M, 9.89, 6236201.00, 42.03
Chhattisgarh, 29-02-2020, M, 7.89, 6847173.00, 45.05
Chhattisgarh, 31-03-2020, M, 7.31, 6894808.00, 44.98
Chhattisgarh, 30-04-2020, M, 0.00, 6534321.00, 39.43
Chhattisgarh, 31-05-2020, M, 7.64, 5454091.00, 35.56
Chhattisgarh, 30-06-2020, M, 10.27, 5707746.00, 38.22
Chhattisgarh, 31-07-2020, M, 12.37, 6444882.00, 44.09
Chhattisgarh, 31-08-2020, M, 6.07, 6893482.00, 43.90
Chhattisgarh, 30-09-2020, M, 0.86, 6881003.00, 41.43
Chhattisgarh, 31-10-2020, M, 6.11, 6334070.00, 40.18
Chhattisgarh, 30-11-2020, M, 3.09, 6536087.00, 40.08
Chhattisgarh, 31-12-2020, M, 7.84, 6292258.00, 40.48
Chhattisgarh, 31-01-2021, M, 6.76, 6525591.00, 41.41
Chhattisgarh, 28-02-2021, M, 5.82, 6586047.00, 41.29
Chhattisgarh, 31-03-2021, M, 2.46, 6321761.00, 38.18
Chhattisgarh, 30-04-2021, M, 3.42, 7057826.00, 42.96
Chhattisgarh, 31-05-2021, M, 9.35, 7019483.00, 45.42
Chhattisgarh, 30-06-2021, M, 2.32, 7098251.00, 42.54
Chhattisgarh, 31-07-2021, M, 3.75, 6498464.00, 39.43
Chhattisgarh, 31-08-2021, M, 3.91, 6538489.00, 39.66
Chhattisgarh, 30-09-2021, M, 4.38, 6309784.00, 38.37
Chhattisgarh, 31-10-2021, M, 3.10, 6846724.00, 41.00
Chhattisgarh, 30-11-2021, M, 1.84, 7343137.00, 43.31
Chhattisgarh, 31-12-2021, M, 2.58, 6822833.00, 40.46
Chhattisgarh, 31-01-2022, M, 2.84, 6105811.00, 36.22
Chhattisgarh, 28-02-2022, M, 1.73, 6635456.00, 38.84
Chhattisgarh, 31-03-2022, M, 0.33, 6890976.00, 39.68
Chhattisgarh, 30-04-2022, M, 0.73, 6852302.00, 39.54
Chhattisgarh, 31-05-2022, M, 0.78, 6656652.00, 38.34
Chhattisgarh, 30-06-2022, M, 0.85, 6884334.00, 39.60
Chhattisgarh, 31-07-2022, M, 1.01, 6987281.00, 40.16
Chhattisgarh, 31-08-2022, M, 0.44, 7111464.00, 40.55
Chhattisgarh, 30-09-2022, M, 0.00, 6897438.00, 39.08
Chhattisgarh, 31-10-2022, M, 0.90, 6968175.00, 39.75
Chhattisgarh, 30-11-2022, M, 0.00, 6777532.00, 38.23
Chhattisgarh, 31-12-2022, M, 2.36, 6934909.00, 39.97
Chhattisgarh, 31-01-2023, M, 0.36, 6860678.00, 38.67
Chhattisgarh, 28-02-2023, M, 0.46, 6943555.00, 39.09
Delhi, 31-01-2016, M, 11.18, 144325.00, 42.71
Delhi, 29-02-2016, M, 11.11, 139645.00, 41.12
Delhi, 31-03-2016, M, 27.27, 144183.00, 51.64
Delhi, 30-04-2016, M, 23.76, 152488.00, 51.86
Delhi, 31-05-2016, M, 11.72, 142106.00, 41.55
Delhi, 30-06-2016, M, 7.23, 143400.00, 39.71
Delhi, 31-07-2016, M, 19.41, 147909.00, 46.93
Delhi, 31-08-2016, M, 21.11, 136416.00, 44.01
Delhi, 30-09-2016, M, 14.17, 131146.00, 38.71
Delhi, 31-10-2016, M, 10.20, 143028.00, 40.16
Delhi, 30-11-2016, M, 17.99, 152807.00, 46.77
Delhi, 31-12-2016, M, 17.53, 138138.00, 41.85
Delhi, 31-01-2017, M, 6.15, 141804.00, 37.57
Delhi, 28-02-2017, M, 10.67, 125279.00, 34.72
Delhi, 31-03-2017, M, 2.54, 148688.00, 37.60
Delhi, 30-04-2017, M, 13.13, 128418.00, 36.26
Delhi, 31-05-2017, M, 4.51, 143693.00, 36.74
Delhi, 30-06-2017, M, 5.30, 133938.00, 34.37
Delhi, 31-07-2017, M, 4.12, 146744.00, 37.02
Delhi, 31-08-2017, M, 15.94, 138058.00, 39.54
Delhi, 30-09-2017, M, 3.23, 152660.00, 37.80
Delhi, 31-10-2017, M, 4.40, 136457.00, 34.05
Delhi, 30-11-2017, M, 3.49, 161595.00, 39.76
Delhi, 31-12-2017, M, 3.82, 142949.00, 35.12
Delhi, 31-01-2018, M, 3.87, 153021.00, 37.44
Delhi, 28-02-2018, M, 4.44, 144573.00, 35.43
Delhi, 31-03-2018, M, 4.89, 157209.00, 38.53
Delhi, 30-04-2018, M, 8.23, 136151.00, 34.42
Delhi, 31-05-2018, M, 4.22, 155775.00, 37.56
Delhi, 30-06-2018, M, 6.38, 149248.00, 36.65
Delhi, 31-07-2018, M, 14.58, 152907.00, 40.96
Delhi, 31-08-2018, M, 6.94, 138141.00, 33.80
Delhi, 30-09-2018, M, 5.52, 163295.00, 39.18
Delhi, 31-10-2018, M, 12.57, 141566.00, 36.53
Delhi, 30-11-2018, M, 11.44, 157215.00, 39.86
Delhi, 31-12-2018, M, 9.15, 137901.00, 33.92
Delhi, 31-01-2019, M, 9.44, 163568.00, 40.18
Delhi, 28-02-2019, M, 8.33, 153787.00, 37.16
Delhi, 31-03-2019, M, 10.13, 164083.00, 40.25
Delhi, 30-04-2019, M, 9.74, 141714.00, 34.45
Delhi, 31-05-2019, M, 12.56, 169487.00, 42.33
Delhi, 30-06-2019, M, 9.33, 149076.00, 35.74
Delhi, 31-07-2019, M, 11.07, 166605.00, 40.53
Delhi, 31-08-2019, M, 17.18, 135407.00, 35.21
Delhi, 30-09-2019, M, 12.50, 166056.00, 40.68
Delhi, 31-10-2019, M, 15.84, 149511.00, 37.90
Delhi, 30-11-2019, M, 11.11, 178768.00, 42.71
Delhi, 31-12-2019, M, 16.97, 145671.00, 37.08
Delhi, 31-01-2020, M, 13.48, 157791.00, 38.36
Delhi, 29-02-2020, M, 13.81, 147500.00, 35.84
Delhi, 31-03-2020, M, 15.18, 152413.00, 37.45
Delhi, 30-04-2020, M, 20.69, 115487.00, 30.21
Delhi, 31-05-2020, M, 22.76, 129610.00, 34.65
Delhi, 30-06-2020, M, 21.14, 112108.00, 29.22
Delhi, 31-07-2020, M, 16.20, 142944.00, 34.89
Delhi, 31-08-2020, M, 20.00, 121757.00, 30.98
Delhi, 30-09-2020, M, 8.70, 144510.00, 32.07
Delhi, 31-10-2020, M, 9.14, 132505.00, 29.41
Delhi, 30-11-2020, M, 7.07, 154829.00, 33.45
Delhi, 31-12-2020, M, 9.93, 138922.00, 30.82
Delhi, 31-01-2021, M, 10.32, 143249.00, 31.76
Delhi, 28-02-2021, M, 7.18, 140722.00, 30.02
Delhi, 31-03-2021, M, 10.95, 153814.00, 34.04
Delhi, 30-04-2021, M, 14.18, 132057.00, 30.18
Delhi, 31-05-2021, M, 22.22, 118925.00, 29.85
Delhi, 30-06-2021, M, 21.31, 113061.00, 27.92
Delhi, 31-07-2021, M, 9.91, 162721.00, 34.93
Delhi, 31-08-2021, M, 11.18, 136472.00, 29.57
Delhi, 30-09-2021, M, 10.00, 161349.00, 34.34
Delhi, 31-10-2021, M, 6.18, 158683.00, 32.25
Delhi, 30-11-2021, M, 11.63, 160963.00, 34.57
Delhi, 31-12-2021, M, 9.70, 138370.00, 28.94
Delhi, 31-01-2022, M, 9.77, 159398.00, 33.21
Delhi, 28-02-2022, M, 5.70, 160204.00, 31.80
Delhi, 31-03-2022, M, 10.10, 163915.00, 33.96
Delhi, 30-04-2022, M, 9.40, 143616.00, 29.39
Delhi, 31-05-2022, M, 6.37, 162252.00, 31.98
Delhi, 30-06-2022, M, 6.95, 157894.00, 31.17
Delhi, 31-07-2022, M, 7.25, 171351.00, 33.77
Delhi, 31-08-2022, M, 8.26, 142896.00, 28.34
Delhi, 30-09-2022, M, 7.05, 159198.00, 31.01
Delhi, 31-10-2022, M, 7.18, 162979.00, 31.64
Delhi, 30-11-2022, M, 10.66, 187246.00, 37.60
Delhi, 31-12-2022, M, 11.76, 164038.00, 33.19
